question_id,question_type,success,keyword_match,total_time,parse_time,retrieval_time,generation_time,num_retrieved,contains_answer,answer_rank,recall@5,recall@10,recall@20,mrr,facts_extracted,facts_selected,answer_length,num_sentences,num_citations
1,WHO,True,True,2.049710988998413,0.0009112358093261719,1.8526203632354736,0.19617938995361328,200,True,3,True,True,True,0.3333333333333333,152,4,1903,0,4
9,WHAT,False,False,1.427316665649414,0.00026988983154296875,1.1759932041168213,0.2510535717010498,200,True,3,True,True,True,0.3333333333333333,155,4,659,0,4
10,WHAT,False,False,1.1388378143310547,0.00014352798461914062,1.1346375942230225,0.004056692123413086,3,False,,False,False,False,0.0,3,3,516,1,3
19,WHEN,True,True,1.7194485664367676,0.00017452239990234375,1.6891698837280273,0.03010416030883789,35,True,1,True,True,True,1.0,30,4,1041,2,4
4,WHO,False,False,1.6394615173339844,0.00028634071350097656,1.440328598022461,0.19884657859802246,200,False,,False,False,False,0.0,181,4,1197,0,4
11,WHO,True,True,1.5797157287597656,0.0001862049102783203,1.5763981342315674,0.003131389617919922,3,True,1,True,True,True,1.0,1,1,71,0,1
8,WHO,True,True,1.7360479831695557,0.0002071857452392578,1.6949613094329834,0.04087948799133301,44,True,1,True,True,True,1.0,41,4,500,0,4
12,WHO,False,False,0.015479564666748047,0.0002562999725341797,0.015223264694213867,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
23,WHEN,False,False,2.2252233028411865,0.00022125244140625,2.0636117458343506,0.1613903045654297,154,False,,False,False,False,0.0,134,4,1142,4,4
25,WHAT,True,True,1.3026185035705566,0.00016355514526367188,1.2750513553619385,0.027403593063354492,24,True,1,True,True,True,1.0,18,4,609,1,4
7,WHO,True,True,1.6160812377929688,0.00020647048950195312,1.6143710613250732,0.0015037059783935547,1,True,1,True,True,True,1.0,1,1,102,0,1
15,WHO,False,False,1.7472116947174072,0.0003437995910644531,1.725043773651123,0.021824121475219727,26,True,18,False,False,True,0.05555555555555555,24,4,695,0,4
22,WHAT,False,False,1.8966114521026611,0.0001976490020751953,1.690171241760254,0.20624256134033203,200,True,20,False,False,True,0.05,169,4,1424,0,4
17,WHAT,False,False,1.2897391319274902,0.00015592575073242188,1.11680006980896,0.17278313636779785,167,True,5,True,True,True,0.2,132,4,685,1,4
26,WHEN,True,True,1.3011643886566162,0.0002770423889160156,1.2921979427337646,0.008689403533935547,8,True,1,True,True,True,1.0,6,4,470,1,4
24,WHO,True,True,1.450946569442749,0.00035071372985839844,1.2881340980529785,0.1624617576599121,200,True,1,True,True,True,1.0,151,4,411,1,4
27,WHAT,False,False,1.4065487384796143,0.00020456314086914062,1.262895107269287,0.143449068069458,200,True,62,False,False,False,0.016129032258064516,103,4,755,2,4
30,WHO,True,True,1.0663225650787354,0.00023436546325683594,1.0618224143981934,0.004265785217285156,2,True,1,True,True,True,1.0,1,1,887,0,1
5,WHO,True,True,1.7334632873535156,0.0002090930938720703,1.7136681079864502,0.01958608627319336,23,True,3,True,True,True,0.3333333333333333,21,4,587,0,4
2,WHO,False,False,1.5360443592071533,0.0002818107604980469,1.3819262981414795,0.15383625030517578,200,True,6,False,True,True,0.16666666666666666,133,4,272,0,4
3,WHO,False,False,1.4173920154571533,0.00021648406982421875,1.2332758903503418,0.1838996410369873,200,True,4,True,True,True,0.25,149,4,470,0,4
20,WHO,True,True,2.2604856491088867,0.00022721290588378906,2.081059217453003,0.17919921875,200,True,5,True,True,True,0.2,187,4,538,2,4
29,WHO,False,False,1.864755630493164,0.00019860267639160156,1.6896069049835205,0.17495012283325195,200,True,117,False,False,False,0.008547008547008548,141,4,269,0,3
16,WHAT,False,False,1.5151970386505127,0.0002815723419189453,1.4746291637420654,0.04028630256652832,33,True,28,False,False,False,0.03571428571428571,31,4,897,0,4
28,WHAT,True,True,2.78621506690979,0.00027823448181152344,2.6052138805389404,0.18072295188903809,200,True,1,True,True,True,1.0,182,4,779,0,4
14,HOW_MANY,True,True,1.4349546432495117,0.00019073486328125,1.2358672618865967,0.1988966464996338,200,True,6,False,True,True,0.16666666666666666,156,4,555,2,4
18,WHO,True,True,1.6719310283660889,0.0002574920654296875,1.650702953338623,0.020970582962036133,21,True,1,True,True,True,1.0,19,4,694,1,4
21,WHO,False,False,1.4892559051513672,0.0002205371856689453,1.4890353679656982,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
6,WHAT,True,True,1.9527251720428467,0.0004172325134277344,1.8588621616363525,0.0934457778930664,83,True,1,True,True,True,1.0,80,4,986,4,4
13,WHO,False,False,0.017775535583496094,0.00025653839111328125,0.017518997192382812,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
