question_id,question_type,success,keyword_match,total_time,parse_time,retrieval_time,generation_time,num_retrieved,contains_answer,answer_rank,recall@5,recall@10,recall@20,mrr,facts_extracted,facts_selected,answer_length,num_sentences,num_citations
1,WHO,False,False,2.1128084659576416,0.0004782676696777344,2.0623252391815186,0.05000495910644531,31,True,1,True,True,True,1.0,24,3,582,1,3
2,WHO,False,False,1.5563228130340576,0.00015020370483398438,1.5113945007324219,0.04477810859680176,31,True,1,True,True,True,1.0,24,3,582,1,3
3,WHO,True,True,1.291646957397461,0.00019478797912597656,1.1018269062042236,0.18962526321411133,200,True,3,True,True,True,0.3333333333333333,143,4,523,7,3
4,WHO,False,False,1.4142062664031982,0.00021147727966308594,1.4083061218261719,0.005688667297363281,5,True,2,True,True,True,0.5,4,1,174,0,1
5,WHO,False,False,1.9814951419830322,0.0002315044403076172,1.7784714698791504,0.20279216766357422,200,True,6,False,True,True,0.16666666666666666,178,3,1170,2,3
6,WHO,False,False,1.710496425628662,0.0001652240753173828,1.419208288192749,0.2911229133605957,200,True,55,False,False,False,0.01818181818181818,173,4,551,9,4
7,WHO,False,False,1.6555507183074951,0.00023174285888671875,1.6395535469055176,0.01576542854309082,18,False,,False,False,False,0.0,11,4,592,0,4
8,WHO,False,False,1.5985257625579834,0.0001819133758544922,1.584507942199707,0.013835906982421875,21,False,,False,False,False,0.0,18,4,456,2,4
9,WHO,False,False,1.583630084991455,0.00013303756713867188,1.5834970474243164,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
10,WHO,False,False,1.6758036613464355,0.00041365623474121094,1.6753900051116943,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
11,WHAT,False,False,2.035259246826172,0.0001583099365234375,1.4625587463378906,0.5725421905517578,200,True,1,True,True,True,1.0,130,4,767,4,2
12,WHAT,True,True,1.5344250202178955,0.0002090930938720703,1.2729549407958984,0.261260986328125,200,True,1,True,True,True,1.0,139,4,1013,4,4
13,WHAT,True,True,1.4075038433074951,0.0001888275146484375,1.1669561862945557,0.24035882949829102,200,True,36,False,False,False,0.027777777777777776,151,4,889,0,3
14,WHAT,False,False,1.3952035903930664,0.00018262863159179688,1.1375572681427002,0.2574636936187744,200,True,2,True,True,True,0.5,170,4,362,2,3
15,WHAT,False,False,1.5531318187713623,0.00014925003051757812,1.2834713459014893,0.26951122283935547,200,True,2,True,True,True,0.5,159,4,1420,0,2
16,WHAT,False,False,1.5147242546081543,0.00022840499877929688,1.2300915718078613,0.28440427780151367,200,True,7,False,True,True,0.14285714285714285,153,4,727,12,3
17,WHAT,False,False,1.482661247253418,0.00020623207092285156,1.264756441116333,0.2176985740661621,200,True,85,False,False,False,0.011764705882352941,170,4,600,12,4
18,WHAT,True,True,1.454338550567627,0.00016570091247558594,1.2524423599243164,0.20173048973083496,200,True,10,False,True,True,0.1,170,4,638,4,3
19,WHAT,False,False,1.6001765727996826,0.0001494884490966797,1.1339921951293945,0.4660348892211914,200,True,29,False,False,False,0.034482758620689655,176,4,884,0,4
20,WHAT,False,False,1.4593162536621094,0.00013208389282226562,1.2546796798706055,0.20450448989868164,200,True,20,False,False,True,0.05,170,4,740,0,4
21,WHERE,True,True,1.261673927307129,0.00024962425231933594,1.1700060367584229,0.09141826629638672,98,True,8,False,True,True,0.125,96,4,666,0,3
22,WHERE,True,True,2.3756208419799805,0.00016808509826660156,2.0594022274017334,0.31605052947998047,200,True,7,False,True,True,0.14285714285714285,173,4,493,0,4
23,WHERE,True,True,1.2737185955047607,0.00019311904907226562,1.2307779788970947,0.04274749755859375,45,True,2,True,True,True,0.5,42,4,718,1,4
24,WHERE,False,False,2.2074427604675293,0.0001308917999267578,1.8514809608459473,0.3558309078216553,200,True,54,False,False,False,0.018518518518518517,167,3,705,0,3
25,WHERE,False,False,1.8561666011810303,0.00024318695068359375,1.7064452171325684,0.14947819709777832,200,True,28,False,False,False,0.03571428571428571,182,4,470,5,4
26,WHERE,False,False,1.6788954734802246,0.00010967254638671875,1.3547189235687256,0.3240668773651123,200,True,3,True,True,True,0.3333333333333333,173,4,686,1,4
27,WHERE,True,True,1.9852476119995117,0.00013303756713867188,1.650974988937378,0.3341395854949951,200,True,1,True,True,True,1.0,162,3,796,1,3
28,WHERE,False,False,1.0483415126800537,0.00012993812561035156,1.0309028625488281,0.017308712005615234,20,True,2,True,True,True,0.5,20,4,542,0,2
29,WHERE,True,True,2.0050148963928223,0.0001373291015625,1.8842239379882812,0.12065362930297852,200,True,1,True,True,True,1.0,190,4,575,0,4
30,WHERE,True,True,2.140030860900879,0.00019216537475585938,2.043355941772461,0.09648275375366211,120,True,1,True,True,True,1.0,107,4,601,2,4
31,WHEN,False,False,1.8215360641479492,0.00031876564025878906,1.6318461894989014,0.18937110900878906,200,False,,False,False,False,0.0,142,4,778,2,4
32,WHEN,False,False,1.1406135559082031,0.0001461505889892578,1.0470209121704102,0.09344649314880371,98,True,14,False,False,True,0.07142857142857142,96,4,804,1,4
33,WHEN,False,False,2.1644368171691895,0.00012040138244628906,2.0036442279815674,0.16067218780517578,200,True,126,False,False,False,0.007936507936507936,178,4,725,3,4
34,WHEN,False,False,2.117204189300537,0.0002474784851074219,1.9070215225219727,0.20993518829345703,200,True,59,False,False,False,0.01694915254237288,160,4,1148,4,3
35,WHEN,False,False,1.1201503276824951,0.0001494884490966797,1.0736231803894043,0.04637765884399414,44,True,12,False,False,True,0.08333333333333333,43,4,696,0,4
36,WHEN,False,False,1.6413090229034424,0.00021219253540039062,1.5202515125274658,0.12084531784057617,200,True,7,False,True,True,0.14285714285714285,181,4,921,3,4
37,WHEN,True,True,1.531019926071167,0.00020933151245117188,1.3443260192871094,0.18648457527160645,200,True,78,False,False,False,0.01282051282051282,162,4,934,4,3
38,WHEN,False,False,2.203564167022705,0.00015044212341308594,1.9821817874908447,0.22123193740844727,200,False,,False,False,False,0.0,181,4,881,0,4
39,WHEN,False,False,1.1082170009613037,0.00017976760864257812,1.0501320362091064,0.05790519714355469,45,False,,False,False,False,0.0,42,4,900,6,4
40,WHEN,False,False,2.1936702728271484,0.00012254714965820312,1.9975183010101318,0.1960294246673584,200,True,2,True,True,True,0.5,167,4,825,2,4
41,HOW_MANY,True,True,1.5382401943206787,0.0001857280731201172,1.2305541038513184,0.30750036239624023,200,True,98,False,False,False,0.01020408163265306,164,4,3130,50,3
42,HOW_MANY,True,True,1.5236248970031738,0.00015544891357421875,1.2843222618103027,0.23914718627929688,200,True,1,True,True,True,1.0,157,4,1883,32,2
43,HOW_MANY,True,True,1.4478275775909424,0.00027751922607421875,1.2190704345703125,0.22847962379455566,200,True,1,True,True,True,1.0,171,4,872,6,4
44,HOW_MANY,True,True,1.3784794807434082,0.0002493858337402344,1.1568231582641602,0.2214069366455078,200,True,1,True,True,True,1.0,162,4,976,15,3
45,HOW_MANY,True,True,1.457362413406372,0.000152587890625,1.1413123607635498,0.31589746475219727,200,True,1,True,True,True,1.0,141,4,739,4,2
46,WHY,False,False,1.1147379875183105,0.00028252601623535156,1.057950735092163,0.05650472640991211,37,True,17,False,False,True,0.058823529411764705,31,4,764,0,3
47,WHY,False,False,2.161400079727173,0.0001506805419921875,1.9741075038909912,0.18714189529418945,200,True,23,False,False,False,0.043478260869565216,181,4,734,2,3
48,HOW,True,True,2.1193912029266357,0.00014066696166992188,1.946157455444336,0.17309308052062988,200,True,1,True,True,True,1.0,184,4,1722,3,3
49,HOW,True,True,2.2804360389709473,0.00018930435180664062,2.181051254272461,0.09919548034667969,200,True,90,False,False,False,0.011111111111111112,188,4,930,0,4
50,WHICH,False,False,1.5408854484558105,0.000217437744140625,1.2420945167541504,0.29857349395751953,200,True,13,False,False,True,0.07692307692307693,133,4,891,4,2
