question_id,question_type,success,keyword_match,total_time,parse_time,retrieval_time,generation_time,num_retrieved,contains_answer,answer_rank,recall@5,recall@10,recall@20,mrr,facts_extracted,facts_selected,answer_length,num_sentences,num_citations
16,WHAT,False,False,1.8275721073150635,0.000621795654296875,1.7970073223114014,0.029942989349365234,33,True,20,False,False,True,0.05,31,4,897,0,4
8,WHO,True,True,1.5955169200897217,0.0002315044403076172,1.5237452983856201,0.07154011726379395,44,True,1,True,True,True,1.0,41,4,501,0,4
22,WHAT,True,True,1.2744777202606201,0.0002105236053466797,1.1724307537078857,0.1018364429473877,50,True,7,False,True,True,0.14285714285714285,41,4,1781,23,4
23,WHEN,False,False,1.645862102508545,0.00020933151245117188,1.600752592086792,0.04490017890930176,50,False,,False,False,False,0.0,40,4,724,2,4
20,WHO,True,True,1.829195499420166,0.00021791458129882812,1.779637098312378,0.04934048652648926,50,True,1,True,True,True,1.0,44,4,481,1,4
15,WHO,True,True,1.6441197395324707,0.000244140625,1.6202921867370605,0.023583412170410156,23,True,3,True,True,True,0.3333333333333333,21,4,592,0,4
3,WHO,True,True,1.0022954940795898,0.00015974044799804688,0.9520978927612305,0.05003786087036133,50,True,2,True,True,True,0.5,42,1,122,0,1
9,WHAT,True,True,1.0494012832641602,0.00019478797912597656,0.9903075695037842,0.05889892578125,50,True,1,True,True,True,1.0,39,4,507,0,4
1,WHO,False,False,1.1524486541748047,0.0001418590545654297,1.101078748703003,0.05122804641723633,50,True,5,True,True,True,0.2,34,4,444,1,4
14,HOW_MANY,True,True,1.11757230758667,0.00025343894958496094,1.0402133464813232,0.07710552215576172,50,True,1,True,True,True,1.0,42,4,738,1,4
28,WHAT,True,True,2.3804686069488525,0.0002930164337158203,2.3369803428649902,0.043195247650146484,50,True,1,True,True,True,1.0,46,4,824,2,4
10,WHAT,False,False,1.0686476230621338,0.00013971328735351562,1.0632052421569824,0.0053026676177978516,3,False,,False,False,False,0.0,3,3,516,1,3
19,WHEN,True,True,1.666274070739746,0.0002903938293457031,1.6323797702789307,0.03360390663146973,35,True,1,True,True,True,1.0,30,4,1041,2,4
2,WHO,False,False,1.1885452270507812,0.0002384185791015625,1.1416890621185303,0.046617746353149414,50,True,11,False,False,True,0.09090909090909091,31,4,776,1,4
29,WHO,False,False,1.3601410388946533,0.00026988983154296875,1.3109819889068604,0.04888916015625,50,False,,False,False,False,0.0,37,2,476,0,2
11,WHO,True,True,1.5019752979278564,0.0001876354217529297,1.498401165008545,0.0033864974975585938,3,True,1,True,True,True,1.0,1,1,71,0,1
17,WHAT,True,True,1.0467376708984375,0.00014925003051757812,0.9789741039276123,0.06761431694030762,50,True,1,True,True,True,1.0,38,4,613,2,3
4,WHO,False,False,1.3193597793579102,0.0002512931823730469,1.2604460716247559,0.05866241455078125,50,False,,False,False,False,0.0,45,4,1282,4,4
13,WHO,False,False,0.017485380172729492,0.00022864341735839844,0.017256736755371094,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
26,WHEN,True,True,1.2753050327301025,0.0002586841583251953,1.2642943859100342,0.010751962661743164,8,True,1,True,True,True,1.0,6,4,470,1,4
27,WHAT,True,True,1.1523964405059814,0.00026226043701171875,1.1054837703704834,0.04665040969848633,50,True,25,False,False,False,0.04,34,4,526,1,3
18,WHO,True,True,1.6219029426574707,0.0002906322479248047,1.6024470329284668,0.0191652774810791,21,True,1,True,True,True,1.0,19,4,695,1,4
30,WHO,True,True,1.030452013015747,0.0003178119659423828,1.026167392730713,0.003966808319091797,2,True,1,True,True,True,1.0,1,1,887,0,1
7,WHO,True,True,1.6654603481292725,0.0001938343048095703,1.6638073921203613,0.0014591217041015625,1,True,1,True,True,True,1.0,1,1,102,0,1
21,WHO,False,False,1.5331835746765137,0.00015735626220703125,1.5330262184143066,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
12,WHO,False,False,0.019279003143310547,0.00029587745666503906,0.018983125686645508,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
5,WHO,True,True,1.6793103218078613,0.00021719932556152344,1.6563003063201904,0.022792816162109375,23,True,2,True,True,True,0.5,21,4,585,0,4
6,WHAT,True,True,1.9454715251922607,0.0005056858062744141,1.890845537185669,0.05412030220031738,50,True,9,False,True,True,0.1111111111111111,49,4,812,4,4
24,WHO,True,True,1.3566265106201172,0.0003044605255126953,1.2840137481689453,0.07230830192565918,50,True,1,True,True,True,1.0,46,4,453,1,4
25,WHAT,True,True,1.3560075759887695,0.000164031982421875,1.3302109241485596,0.025632619857788086,24,True,1,True,True,True,1.0,18,4,609,1,4
