question_id,question_type,success,keyword_match,total_time,parse_time,retrieval_time,generation_time,num_retrieved,contains_answer,answer_rank,recall@5,recall@10,recall@20,mrr,facts_extracted,facts_selected,answer_length,num_sentences,num_citations
22,WHAT,False,False,1.832301139831543,0.0005676746368408203,1.7823739051818848,0.04935956001281738,200,True,6,False,True,True,0.16666666666666666,163,4,1063,4,4
1,WHO,False,False,1.2970445156097412,0.0001468658447265625,1.2490437030792236,0.047853946685791016,200,True,3,True,True,True,0.3333333333333333,147,1,211,1,1
28,WHAT,True,True,2.5889763832092285,0.00032782554626464844,2.5801877975463867,0.008460760116577148,200,True,1,True,True,True,1.0,182,4,733,1,4
10,WHAT,False,False,1.3954203128814697,0.0002300739288330078,1.3947322368621826,0.00045800209045410156,3,False,,False,False,False,0.0,3,3,516,1,3
9,WHAT,False,False,1.3547866344451904,0.0003571510314941406,1.3039436340332031,0.050485849380493164,200,True,21,False,False,False,0.047619047619047616,155,4,484,0,4
14,HOW_MANY,True,True,1.5032439231872559,0.0002231597900390625,1.4427285194396973,0.06029224395751953,200,True,2,True,True,True,0.5,163,4,843,5,4
5,WHO,True,True,1.6474335193634033,0.00026679039001464844,1.646155834197998,0.001010894775390625,23,True,3,True,True,True,0.3333333333333333,21,4,287,0,4
19,WHEN,True,True,1.6362223625183105,0.00017595291137695312,1.6348698139190674,0.001176595687866211,35,True,1,True,True,True,1.0,30,4,1008,3,4
29,WHO,False,False,1.5069451332092285,0.0001800060272216797,1.4634177684783936,0.04334735870361328,200,False,,False,False,False,0.0,137,4,961,2,4
25,WHAT,True,True,1.4351797103881836,0.0001919269561767578,1.4342014789581299,0.0007863044738769531,24,True,1,True,True,True,1.0,18,4,464,1,4
23,WHEN,False,False,2.013117551803589,0.000186920166015625,2.00711989402771,0.005810737609863281,154,False,,False,False,False,0.0,134,4,943,6,4
30,WHO,True,True,1.022714614868164,0.000293731689453125,1.0222318172454834,0.00018906593322753906,2,True,1,True,True,True,1.0,1,1,887,0,1
26,WHEN,True,True,1.271360158920288,0.0001926422119140625,1.2708344459533691,0.0003330707550048828,8,True,1,True,True,True,1.0,6,4,602,1,4
20,WHO,True,True,1.996354341506958,0.0002009868621826172,1.9911978244781494,0.0049555301666259766,200,True,1,True,True,True,1.0,186,4,711,0,4
3,WHO,True,True,1.186152696609497,0.00011277198791503906,1.124743938446045,0.06129598617553711,200,True,6,False,True,True,0.16666666666666666,160,4,650,0,4
17,WHAT,True,True,1.1928133964538574,0.00024890899658203125,1.1037027835845947,0.08886170387268066,167,True,1,True,True,True,1.0,132,4,985,2,4
11,WHO,True,True,1.5746243000030518,0.0002467632293701172,1.5741782188415527,0.00019931793212890625,3,True,1,True,True,True,1.0,1,1,71,0,1
7,WHO,True,True,1.5214815139770508,0.00024962425231933594,1.5209310054779053,0.0003008842468261719,1,True,1,True,True,True,1.0,1,1,102,0,1
13,WHO,False,False,0.022450923919677734,0.0001685619354248047,0.02228236198425293,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
21,WHO,False,False,1.4863128662109375,0.0002422332763671875,1.4860706329345703,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
4,WHO,False,False,1.438330888748169,0.0005695819854736328,1.4320569038391113,0.005704402923583984,200,False,,False,False,False,0.0,182,4,716,0,4
27,WHAT,True,True,1.5718655586242676,0.0001323223114013672,1.5371520519256592,0.03458118438720703,200,True,1,True,True,True,1.0,107,4,557,0,4
16,WHAT,False,False,1.4464106559753418,0.00022363662719726562,1.4446678161621094,0.0015192031860351562,33,True,25,False,False,False,0.04,31,4,786,0,4
8,WHO,True,True,1.634573221206665,0.00016736984252929688,1.5943505764007568,0.040055274963378906,44,True,1,True,True,True,1.0,41,3,345,0,3
6,WHAT,True,True,1.8076839447021484,0.0003523826599121094,1.8046181201934814,0.002713441848754883,83,True,2,True,True,True,0.5,80,4,1184,5,4
12,WHO,False,False,0.014147520065307617,0.00019121170043945312,0.013956308364868164,0.0,0,False,,False,False,False,0.0,0,0,0,0,0
2,WHO,False,False,1.4123148918151855,0.0003275871276855469,1.3721699714660645,0.03981733322143555,200,True,11,False,False,True,0.09090909090909091,126,4,629,1,3
18,WHO,True,True,1.5937144756317139,0.0002694129943847656,1.5927987098693848,0.0006463527679443359,21,True,1,True,True,True,1.0,19,4,612,0,4
15,WHO,True,True,1.6324152946472168,0.00019741058349609375,1.6260838508605957,0.006134033203125,23,True,10,False,True,True,0.1,21,4,585,0,4
24,WHO,True,True,1.4899981021881104,0.0002384185791015625,1.4114012718200684,0.07835841178894043,200,True,1,True,True,True,1.0,155,1,182,0,1
